userID;restaurantID;rating
{573911: 'User25287'};{573911: 'Restaurant31'};{573911: -8.98}
{1337673: 'User45110'};{1337673: 'Restaurant50'};{1337673: 4.35}
{1492611: 'User53493'};{1492611: 'Restaurant19'};{1492611: 3.64}
{311868: 'User16630'};{311868: 'Restaurant10'};{311868: -9.2867}
{693624: 'User48335'};{693624: 'Restaurant8'};{693624: -5.29}
{661013: 'User9619'};{661013: 'Restaurant90'};{661013: 0.8433}
{1063424: 'User67625'};{1063424: 'Restaurant48'};{1063424: -9.08}
{1717185: 'User27976'};{1717185: 'Restaurant57'};{1717185: -8.7867}
{1130368: 'User10527'};{1130368: 'Restaurant17'};{1130368: -7.82}
{880262: 'User26355'};{880262: 'Restaurant2'};{880262: -8.88}
{115285: 'User12571'};{115285: 'Restaurant18'};{115285: 3.35}
{1287929: 'User30307'};{1287929: 'Restaurant61'};{1287929: -9.584}
{1611769: 'User17802'};{1611769: 'Restaurant71'};{1611769: 5.29}
{1227509: 'User18767'};{1227509: 'Restaurant12'};{1227509: -9.37}
{792735: 'User36277'};{792735: 'Restaurant69'};{792735: 5.53}
{1537219: 'User34746'};{1537219: 'Restaurant41'};{1537219: -9.03}
{855631: 'User6985'};{855631: 'Restaurant20'};{855631: -9.66}
{986346: 'User14851'};{986346: 'Restaurant15'};{986346: -9.13}
{729021: 'User32797'};{729021: 'Restaurant42'};{729021: -3.64}
{727281: 'User37056'};{727281: 'Restaurant28'};{727281: -5.0}
{25090: 'User6350'};{25090: 'Restaurant10'};{25090: 1.455}
{1303205: 'User20166'};{1303205: 'Restaurant32'};{1303205: 7.48}
{136356: 'User70499'};{136356: 'Restaurant5'};{136356: -9.61}
{736003: 'User55150'};{736003: 'Restaurant21'};{736003: -3.834}
{51129: 'User47916'};{51129: 'Restaurant96'};{51129: 8.3}
{468428: 'User15614'};{468428: 'Restaurant74'};{468428: -4.39}
{719782: 'User3131'};{719782: 'Restaurant87'};{719782: 2.77}
{1326350: 'User4789'};{1326350: 'Restaurant35'};{1326350: -9.37}
{390925: 'User12014'};{390925: 'Restaurant65'};{390925: 2.23}
{804625: 'User1897'};{804625: 'Restaurant89'};{804625: -9.195}
{866977: 'User38786'};{866977: 'Restaurant8'};{866977: 0.58}
{301932: 'User17562'};{301932: 'Restaurant100'};{301932: 4.95}
{983518: 'User2809'};{983518: 'Restaurant11'};{983518: -0.6675}
{1883962: 'User58641'};{1883962: 'Restaurant13'};{1883962: 0.53}
{697862: 'User34659'};{697862: 'Restaurant55'};{697862: -9.81}
{1688385: 'User4463'};{1688385: 'Restaurant31'};{1688385: -8.5}
{1330811: 'User6721'};{1330811: 'Restaurant18'};{1330811: 2.67}
{1819989: 'User2291'};{1819989: 'Restaurant5'};{1819989: -6.46}
{787137: 'User34073'};{787137: 'Restaurant94'};{787137: -9.49}
{826613: 'User53147'};{826613: 'Restaurant20'};{826613: -9.85}
{281539: 'User40051'};{281539: 'Restaurant36'};{281539: 3.98}
{1906343: 'User25922'};{1906343: 'Restaurant40'};{1906343: -2.558}
{429230: 'User45831'};{429230: 'Restaurant29'};{429230: 0.15}
{1127068: 'User16328'};{1127068: 'Restaurant16'};{1127068: -8.79}
{667440: 'User13574'};{667440: 'Restaurant50'};{667440: -9.85}
{1674760: 'User22001'};{1674760: 'Restaurant10'};{1674760: 1.26}
{187901: 'User4377'};{187901: 'Restaurant28'};{187901: -9.49}
{1587627: 'User20773'};{1587627: 'Restaurant66'};{1587627: 5.68}
{139467: 'User28853'};{139467: 'Restaurant11'};{139467: 5.05}
{650520: 'User46641'};{650520: 'Restaurant45'};{650520: -9.76}
{581764: 'User32742'};{581764: 'Restaurant13'};{581764: -8.93}
{1364000: 'User48216'};{1364000: 'Restaurant21'};{1364000: 0.705}
{317464: 'User41515'};{317464: 'Restaurant38'};{317464: -9.78}
{393489: 'User10058'};{393489: 'Restaurant15'};{393489: -9.66}
{1037619: 'User5544'};{1037619: 'Restaurant19'};{1037619: -9.76}
{834558: 'User29142'};{834558: 'Restaurant22'};{834558: -9.2067}
{1131708: 'User56917'};{1131708: 'Restaurant36'};{1131708: -9.9}
{549429: 'User2192'};{549429: 'Restaurant93'};{549429: 6.7621}
{750171: 'User40716'};{750171: 'Restaurant39'};{750171: -9.76}
{866472: 'User18816'};{866472: 'Restaurant27'};{866472: 0.58}
{23972: 'User38578'};{23972: 'Restaurant32'};{23972: -1.02}
{1747962: 'User44918'};{1747962: 'Restaurant6'};{1747962: 6.65}
{159165: 'User32873'};{159165: 'Restaurant10'};{159165: 3.7367}
{443619: 'User14956'};{443619: 'Restaurant28'};{443619: -9.88}
{1133671: 'User47535'};{1133671: 'Restaurant3'};{1133671: -9.2367}
{1093961: 'User8879'};{1093961: 'Restaurant45'};{1093961: -9.61}
{885329: 'User66328'};{885329: 'Restaurant68'};{885329: -1.21}
{166128: 'User31734'};{166128: 'Restaurant37'};{166128: -3.4}
{403587: 'User17919'};{403587: 'Restaurant40'};{403587: 0.87}
{1326594: 'User45124'};{1326594: 'Restaurant7'};{1326594: 1.21}
{445477: 'User21894'};{445477: 'Restaurant81'};{445477: 0.85}
{37932: 'User35797'};{37932: 'Restaurant85'};{37932: 2.6663}
{1092433: 'User34819'};{1092433: 'Restaurant32'};{1092433: -9.51}
{559007: 'User12701'};{559007: 'Restaurant13'};{559007: -9.22}
{230767: 'User43603'};{230767: 'Restaurant72'};{230767: -8.98}
{924025: 'User14890'};{924025: 'Restaurant90'};{924025: 7.57}
{580990: 'User45918'};{580990: 'Restaurant18'};{580990: 5.58}
{563459: 'User35854'};{563459: 'Restaurant6'};{563459: -9.27}
{395218: 'User22264'};{395218: 'Restaurant69'};{395218: -9.79}
{487501: 'User59775'};{487501: 'Restaurant49'};{487501: -0.68}
{26943: 'User23467'};{26943: 'Restaurant67'};{26943: -3.325}
{1477316: 'User12622'};{1477316: 'Restaurant16'};{1477316: -8.11}
{9801: 'User16809'};{9801: 'Restaurant23'};{9801: -9.5967}
{52742: 'User32792'};{52742: 'Restaurant91'};{52742: -0.8678}
{1816793: 'User13250'};{1816793: 'Restaurant55'};{1816793: 0.655}
{1455614: 'User22592'};{1455614: 'Restaurant4'};{1455614: -0.68}
{1114554: 'User70453'};{1114554: 'Restaurant8'};{1114554: -9.85}
{12075: 'User46452'};{12075: 'Restaurant97'};{12075: 3.2545}
{767232: 'User21558'};{767232: 'Restaurant16'};{767232: -0.68}
{145598: 'User69678'};{145598: 'Restaurant16'};{145598: -9.56}
{1912508: 'User36837'};{1912508: 'Restaurant21'};{1912508: -5.53}
{1088915: 'User26173'};{1088915: 'Restaurant12'};{1088915: -9.37}
{676670: 'User18135'};{676670: 'Restaurant11'};{676670: -9.53}
{561723: 'User27331'};{561723: 'Restaurant33'};{561723: -9.03}
{365031: 'User34298'};{365031: 'Restaurant47'};{365031: 1.8}
{55213: 'User47048'};{55213: 'Restaurant70'};{55213: -0.4533}
{165667: 'User43439'};{165667: 'Restaurant16'};{165667: -9.76}
{928277: 'User25396'};{928277: 'Restaurant36'};{928277: -9.27}
{566787: 'User31687'};{566787: 'Restaurant20'};{566787: 8.25}
{878015: 'User53947'};{878015: 'Restaurant19'};{878015: -9.27}
{522158: 'User33351'};{522158: 'Restaurant37'};{522158: -6.99}
{360685: 'User29164'};{360685: 'Restaurant22'};{360685: -5.24}
